Date,Time,AGP,AIRLINK,ATRL,CHCC,COLG,DCR,DGKC,EFERT,ENGROH,FATIMA,FCCL,FFC,HCAR,HUBC,ILP,INDU,KAPCO,LCI,LUCK,MARI,MLCF,NESTLE,NETSOL,NRL,OGDC,POL,PPL,PRL,PSO,SAZEW,SEARL,SNGP,SSGC,SYS,KSE100,KMI30
2026-09-07,09:00,163.83,132.64,1106.52,299.85,1194.78,40.42,206.53,190.93,270.82,153.55,54.48,548.11,235.35,207.44,107.29,1898.91,27.0,217.1,433.12,664.49,101.46,7505.33,124.16,507.38,328.8,730.21,227.29,98.71,360.7,1850.13,84.4,99.65,27.45,126.98,175328.82,250239.14
2026-09-07,10:00,163.5,131.05,1087.0,297.5,1200.25,40.8,205.3,189.0,269.5,152.75,54.0,546.98,233.05,206.15,107.29,1902.0,27.15,216.99,432.9,663.8,101.3,7495.0,123.8,498.8,327.48,730.95,227.25,93.34,359.87,1815.01,84.55,98.61,27.28,126.98,174856.59,249137.79
2026-09-07,11:00,163.73,131.77,1083.5,298.89,1202.0,40.79,206.19,188.77,270.25,153.0,53.98,545.98,234.01,207.0,106.4,1899.0,27.1,218.0,433.19,663.0,101.35,7499.99,123.5,502.0,328.15,729.83,228.16,93.12,361.8,1808.0,84.55,98.98,27.2,126.5,174889.25,249366.69
2026-09-07,12:00,163.0,131.41,1082.45,296.89,1200.0,40.65,205.68,189.1,270.0,152.49,53.98,546.3,234.0,207.15,106.49,1887.0,27.04,217.9,431.99,664.3,100.73,7499.98,123.85,498.51,327.44,728.5,227.76,91.55,360.28,1812.0,84.7,98.75,27.2,126.7,174778.7,249175.47
2026-09-07,13:00,163.03,131.51,1084.0,296.89,1201.0,40.83,205.75,189.74,270.0,153.0,53.9,544.81,234.0,207.0,106.5,1896.9,26.98,217.9,432.51,663.5,101.11,7481.0,126.9,494.05,326.92,729.9,227.8,90.35,360.9,1809.0,84.9,98.88,27.11,126.98,174714.98,249092.64
2026-09-07,14:00,163.0,132.0,1075.25,297.99,1198.0,40.56,205.94,190.68,270.09,152.98,53.95,545.0,233.49,207.03,105.97,1888.75,27.0,217.99,433.15,661.89,100.71,7499.0,129.5,493.47,325.79,729.7,227.2,89.25,360.0,1807.5,84.4,98.75,27.04,126.0,174433.36,248865.78
2026-09-07,15:00,162.55,131.01,1073.5,292.98,1194.99,40.8,203.0,189.34,268.79,153.0,53.74,545.2,230.5,206.4,106.0,1892.9,26.91,217.99,428.0,661.99,99.25,7481.03,127.52,492.0,320.89,728.1,223.44,88.84,360.2,1810.22,84.1,98.12,26.79,126.14,173782.4,247492.1
2026-09-07,16:00,162.52,130.62,1072.77,294.75,1190.05,40.7,203.27,189.52,269.33,152.83,53.61,545.5,230.88,206.28,106.88,1886.56,26.91,217.62,428.47,661.3,99.05,7500.09,127.58,487.69,320.66,729.38,223.23,88.84,359.73,1811.36,84.04,98.01,26.81,126.64,173636.07,247520.67
2026-09-07,19:27,162.52,130.62,1072.77,294.75,1190.05,40.7,203.27,189.52,269.33,152.83,53.61,545.5,230.88,206.28,106.88,1886.56,26.91,217.62,428.47,661.3,99.05,7500.09,127.58,487.69,320.66,729.38,223.23,88.84,359.73,1811.36,84.04,98.01,26.81,126.64,173636.07,247520.67
2026-09-08,09:00,162.52,130.62,1072.77,294.75,1190.05,40.7,203.27,189.52,269.33,152.83,53.61,545.5,230.88,206.28,106.88,1886.56,26.91,217.62,428.47,661.3,99.05,7500.09,127.58,487.69,320.66,729.38,223.23,88.84,359.73,1811.36,84.04,98.01,26.81,126.64,173636.07,247520.67
