Date,Time,AGP,AIRLINK,ATRL,CHCC,COLG,DCR,DGKC,EFERT,ENGROH,FATIMA,FCCL,FFC,HCAR,HUBC,ILP,INDU,KAPCO,LCI,LUCK,MARI,MLCF,NESTLE,NETSOL,NRL,OGDC,POL,PPL,PRL,PSO,SAZEW,SEARL,SNGP,SSGC,SYS,KSE100,KMI30
2026-09-14,09:00,155.7,125.79,1095.05,269.84,1177.64,40.21,193.86,189.19,264.12,150.02,52.74,541.37,220.93,203.76,100.95,1833.2,26.0,219.26,416.68,649.6,95.4,7424.22,120.17,537.12,320.83,715.84,218.86,85.63,348.13,1819.96,79.91,93.37,23.64,123.54,170511.85,243245.6
2026-09-14,10:00,154.99,124.45,1125.96,267.0,1170.0,40.0,191.4,189.0,262.6,148.99,52.19,536.28,217.1,202.7,99.99,1853.0,25.99,217.99,412.9,647.85,92.75,7380.0,119.0,542.0,317.5,719.76,217.0,87.25,344.8,1798.89,79.12,91.8,23.58,122.78,169544.86,241655.94
2026-09-14,11:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-14,12:00,154.98,123.5,1133.11,266.89,1179.85,40.1,191.36,188.56,263.0,150.47,52.05,535.7,216.71,202.85,98.99,1839.01,25.92,216.68,410.95,649.03,92.84,7424.0,118.0,535.0,320.49,719.0,220.5,86.7,345.39,1790.01,78.56,92.7,23.9,123.01,169505.03,242116.99
2026-09-14,13:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-14,14:00,154.4,123.31,1135.0,263.0,1179.0,40.1,189.69,188.21,261.75,149.75,51.97,535.48,216.0,202.18,98.97,1841.99,25.9,217.15,408.97,648.4,92.2,7425.0,118.0,539.01,318.8,719.0,219.13,86.8,345.0,1797.5,78.69,91.6,23.85,122.95,169050.08,241434.03
2026-09-14,15:00,153.9,123.0,1124.0,259.0,1180.0,40.01,189.32,187.01,261.49,144.43,51.6,533.9,213.65,201.34,97.5,1825.0,25.89,217.0,407.99,642.91,91.36,7518.0,118.6,534.0,314.66,718.75,215.48,85.15,342.0,1795.3,77.98,90.95,23.49,121.54,167860.85,239441.91
2026-09-14,16:00,153.57,123.11,1118.0,259.85,1177.35,40.0,189.04,187.06,261.28,143.16,51.37,535.11,213.56,201.87,97.57,1806.68,25.76,216.11,406.18,641.4,91.65,7508.75,118.27,532.38,315.13,718.94,219.9,85.4,340.19,1780.09,78.08,89.1,23.32,121.32,167970.65,239957.1
2026-09-14,20:56,153.57,123.11,1118.0,259.85,1177.35,40.0,189.04,187.06,261.28,143.16,51.37,535.11,213.56,201.87,97.57,1806.68,25.76,216.11,406.18,641.4,91.65,7508.75,118.27,532.38,315.13,718.94,219.9,85.4,340.19,1780.09,78.08,89.1,23.32,121.32,167970.65,239957.1
2026-09-15,09:00,153.57,123.11,1118.0,259.85,1177.35,40.0,189.04,187.06,261.28,143.16,51.37,535.11,213.56,201.87,97.57,1806.68,25.76,216.11,406.18,641.4,91.65,7508.75,118.27,532.38,315.13,718.94,219.9,85.4,340.19,1780.09,78.08,89.1,23.32,121.32,167970.65,239957.1
