Date,Time,AGP,AIRLINK,ATRL,CHCC,COLG,DCR,DGKC,EFERT,ENGROH,FATIMA,FCCL,FFC,HCAR,HUBC,ILP,INDU,KAPCO,LCI,LUCK,MARI,MLCF,NESTLE,NETSOL,NRL,OGDC,POL,PPL,PRL,PSO,SAZEW,SEARL,SNGP,SSGC,SYS,KSE100,KMI30
2026-08-24,09:00,177.94,131.87,1117.47,304.4,1215.3,39.17,211.86,184.01,267.66,159.49,55.37,544.24,228.2,206.96,100.04,1957.46,27.93,224.2,440.41,675.06,97.9,7520.0,119.55,526.29,325.82,717.8,240.66,90.97,375.45,1869.5,87.67,102.49,27.53,128.81,177166.52,251460.53
2026-08-24,10:00,176.97,132.39,1135.0,304.5,1217.61,39.2,215.15,182.89,264.69,160.0,55.7,546.8,231.0,207.5,100.89,1960.0,28.05,224.94,442.87,675.0,99.56,7518.15,119.26,537.98,332.0,717.0,243.25,96.48,378.7,1867.99,88.9,103.0,27.6,129.37,177871.97,252784.25
2026-08-24,11:00,176.99,132.37,1135.01,305.66,1224.98,39.16,216.5,184.14,264.75,159.77,56.72,549.5,231.0,207.26,100.32,1964.0,28.01,225.1,444.51,671.47,101.5,7490.0,120.0,522.5,330.7,724.0,242.8,96.51,378.25,1861.99,89.3,102.89,27.68,129.0,177934.94,252847.85
2026-08-24,12:00,175.8,132.34,1127.0,307.47,1220.0,39.27,216.9,183.4,264.82,159.97,56.5,548.99,230.39,207.11,100.51,1959.0,28.05,224.89,444.0,676.0,101.3,7490.0,120.49,517.9,330.72,724.0,243.16,95.7,377.8,1861.05,88.79,103.0,27.7,128.25,177751.69,252694.14
2026-08-24,13:00,175.8,131.94,1106.5,308.01,1215.0,39.37,215.76,182.97,264.0,159.2,56.5,548.0,229.99,206.7,100.52,1960.0,28.04,224.1,442.39,673.91,100.4,7490.0,120.45,504.89,332.5,723.0,246.61,88.84,378.5,1862.48,88.93,104.2,28.8,126.73,177421.29,252307.05
2026-08-24,14:00,175.6,131.49,1114.9,308.28,1218.98,39.4,217.27,183.0,264.0,159.34,56.43,545.48,228.53,207.51,100.5,1957.0,27.93,224.5,442.0,673.57,100.97,7510.0,120.0,510.5,331.95,720.99,245.5,90.5,379.0,1861.0,88.77,104.0,28.83,126.99,177481.22,252184.64
2026-08-24,15:00,173.99,131.45,1111.0,308.0,1215.16,39.35,216.85,182.75,263.49,157.48,56.51,544.98,229.46,207.4,100.0,1948.0,27.95,224.09,439.0,672.44,100.5,7510.0,119.95,509.0,330.7,718.99,244.25,87.3,376.4,1860.71,87.99,103.77,28.56,126.49,176876.14,251308.22
2026-08-24,16:00,172.95,131.37,1105.21,307.02,1216.3,39.35,218.32,182.77,263.55,158.07,56.69,544.83,228.48,207.56,100.4,1950.21,28.0,223.69,440.03,671.86,101.7,7518.89,119.78,505.81,331.09,719.41,245.66,86.74,375.47,1861.49,87.79,103.52,28.33,126.51,176966.68,251515.81
2026-08-25,09:00,172.95,131.37,1105.21,307.02,1216.3,39.35,218.32,182.77,263.55,158.07,56.69,544.83,228.48,207.56,100.4,1950.21,28.0,223.69,440.03,671.86,101.7,7518.89,119.78,505.81,331.09,719.41,245.66,86.74,375.47,1861.49,87.79,103.52,28.33,126.51,176966.68,251515.81
2026-08-25,10:00,173.3,131.4,1092.99,307.65,1217.5,39.59,219.9,182.99,263.5,156.0,56.81,548.3,229.14,207.97,101.25,1950.0,27.97,223.11,439.39,673.5,102.5,7518.89,119.55,501.5,331.8,721.0,245.6,84.8,375.5,1862.01,88.3,104.08,28.6,126.5,177295.47,251919.02
2026-08-25,11:00,169.85,129.5,1086.0,304.12,1216.0,39.6,220.1,182.0,263.94,156.42,56.91,547.5,228.0,207.0,100.4,1949.99,28.0,224.0,438.16,671.0,102.03,7544.8,120.35,491.0,327.8,719.2,243.0,85.5,372.0,1862.0,89.61,103.66,28.48,125.0,176804.52,250867.02
2026-08-25,12:00,170.49,129.8,1093.0,306.0,1216.0,39.65,219.94,182.49,265.39,156.39,56.92,547.75,228.02,207.6,100.27,1949.0,28.07,223.5,438.99,672.94,102.08,7505.0,119.5,491.0,328.3,720.99,244.14,85.24,376.1,1862.3,89.5,103.85,28.43,124.9,177018.89,251372.78
2026-08-25,13:00,170.2,129.8,1102.0,305.99,1216.0,39.65,219.02,182.21,262.0,156.0,56.64,548.55,228.31,207.5,100.2,1948.0,27.85,224.85,438.5,669.61,101.24,7535.0,119.32,499.45,327.5,720.0,243.4,88.9,374.7,1862.5,89.1,102.9,28.2,125.0,176830.82,250860.11
2026-08-25,14:00,170.72,130.0,1096.82,305.88,1214.99,39.99,219.73,182.29,261.5,156.06,56.62,549.44,228.0,207.36,100.21,1945.0,27.74,223.9,438.45,670.47,101.65,7535.1,119.6,500.33,328.24,717.84,243.55,90.66,374.0,1861.5,89.18,103.0,28.3,124.76,176723.17,250930.41
2026-08-25,15:00,170.98,129.86,1094.99,308.75,1214.98,39.98,222.0,182.35,261.6,157.02,57.75,548.98,227.9,207.15,100.39,1945.0,27.89,224.3,442.7,668.0,103.69,7535.0,119.52,501.5,328.7,719.0,244.47,91.63,374.0,1854.5,89.1,103.55,28.23,124.87,177068.93,251668.43
2026-08-25,16:00,170.29,129.51,1096.4,308.19,1215.05,39.9,221.41,182.03,261.53,157.25,57.71,547.74,228.06,207.28,100.52,1944.99,27.91,223.87,442.69,668.06,103.42,7503.33,119.12,501.32,327.43,722.89,243.52,90.59,373.67,1854.33,88.78,103.42,28.34,124.94,177370.7,251579.93
2026-08-26,09:00,170.29,129.51,1096.4,308.19,1215.05,39.9,221.41,182.03,261.53,157.25,57.71,547.74,228.06,207.28,100.52,1944.99,27.91,223.87,442.69,668.06,103.42,7503.33,119.12,501.32,327.43,722.89,243.52,90.59,373.67,1854.33,88.78,103.42,28.34,124.94,177370.7,251579.93
2026-08-26,10:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26,11:00,170.29,129.51,1096.4,308.19,1215.05,39.9,221.41,182.03,261.53,157.25,57.71,547.74,228.06,207.28,100.52,1944.99,27.91,223.87,442.69,668.06,103.42,7503.33,119.12,501.32,327.43,722.89,243.52,90.59,373.67,1854.33,88.78,103.42,28.34,124.94,177370.7,251579.93
2026-08-26,12:00,170.29,129.51,1096.4,308.19,1215.05,39.9,221.41,182.03,261.53,157.25,57.71,547.74,228.06,207.28,100.52,1944.99,27.91,223.87,442.69,668.06,103.42,7503.33,119.12,501.32,327.43,722.89,243.52,90.59,373.67,1854.33,88.78,103.42,28.34,124.94,177370.7,251579.93
2026-08-26,13:00,170.29,129.51,1096.4,308.19,1215.05,39.9,221.41,182.03,261.53,157.25,57.71,547.74,228.06,207.28,100.52,1944.99,27.91,223.87,442.69,668.06,103.42,7503.33,119.12,501.32,327.43,722.89,243.52,90.59,373.67,1854.33,88.78,103.42,28.34,124.94,177370.7,251579.93
2026-08-26,14:00,170.29,129.51,1096.4,308.19,1215.05,39.9,221.41,182.03,261.53,157.25,57.71,547.74,228.06,207.28,100.52,1944.99,27.91,223.87,442.69,668.06,103.42,7503.33,119.12,501.32,327.43,722.89,243.52,90.59,373.67,1854.33,88.78,103.42,28.34,124.94,177370.7,251579.93
2026-08-26,15:00,170.29,129.51,1096.4,308.19,1215.05,39.9,221.41,182.03,261.53,157.25,57.71,547.74,228.06,207.28,100.52,1944.99,27.91,223.87,442.69,668.06,103.42,7503.33,119.12,501.32,327.43,722.89,243.52,90.59,373.67,1854.33,88.78,103.42,28.34,124.94,177370.7,251579.93
2026-08-26,16:00,170.29,129.51,1096.4,308.19,1215.05,39.9,221.41,182.03,261.53,157.25,57.71,547.74,228.06,207.28,100.52,1944.99,27.91,223.87,442.69,668.06,103.42,7503.33,119.12,501.32,327.43,722.89,243.52,90.59,373.67,1854.33,88.78,103.42,28.34,124.94,177370.7,251579.93
2026-08-27,09:00,170.29,129.51,1096.4,308.19,1215.05,39.9,221.41,182.03,261.53,157.25,57.71,547.74,228.06,207.28,100.52,1944.99,27.91,223.87,442.69,668.06,103.42,7503.33,119.12,501.32,327.43,722.89,243.52,90.59,373.67,1854.33,88.78,103.42,28.34,124.94,177370.7,251579.93
2026-08-27,10:00,169.89,131.7,1105.0,309.5,1219.01,40.8,220.95,183.4,262.34,158.0,57.86,549.0,229.0,209.3,101.65,1950.0,28.0,223.13,444.89,673.0,104.5,7548.1,119.98,480.98,328.8,754.0,243.8,90.7,371.55,1886.0,89.91,103.01,28.45,125.0,178347.57,252526.5
2026-08-27,11:00,169.5,131.99,1102.0,309.3,1222.99,40.89,221.5,183.2,265.75,157.25,57.8,550.0,228.95,208.72,101.7,1948.0,27.93,223.7,447.89,673.8,104.86,7505.26,119.9,481.46,327.98,751.65,242.0,91.5,368.8,1895.98,89.9,103.5,28.36,123.99,178367.34,252753.07
2026-08-27,12:00,169.7,131.98,1096.13,309.89,1217.0,40.98,220.5,184.85,265.5,156.23,57.42,551.1,228.7,212.1,101.25,1948.0,27.85,224.0,446.0,672.6,104.61,7539.99,119.43,478.4,328.77,752.0,242.12,90.94,367.85,1910.0,89.99,103.25,28.35,123.26,178487.81,252971.02
2026-08-27,13:00,169.9,131.8,1096.0,308.0,1218.49,41.11,218.79,185.29,265.84,156.5,57.06,550.0,227.89,211.81,101.0,1944.51,27.66,224.01,444.81,672.29,103.85,7505.25,119.35,478.48,327.8,752.75,242.1,91.0,367.0,1914.0,90.15,102.5,28.15,123.35,178132.86,252612.49
2026-08-27,14:00,169.8,131.5,1096.9,309.4,1218.48,41.01,217.8,185.1,265.7,156.51,57.02,550.48,227.24,212.0,100.56,1942.61,27.82,223.0,444.03,670.72,103.8,7538.9,119.5,474.06,326.76,752.9,239.65,90.2,364.5,1911.0,90.27,101.89,28.18,123.25,177757.22,252022.69
2026-08-27,15:00,169.64,131.92,1092.6,308.99,1218.0,41.1,215.8,185.16,265.48,157.19,57.26,550.39,226.5,211.7,100.9,1945.0,27.84,223.35,443.92,669.31,102.95,7505.2,119.3,476.4,325.75,749.0,238.5,90.47,364.6,1890.0,89.49,102.25,27.9,124.5,177697.05,251889.19
2026-08-27,16:00,169.68,131.92,1090.65,307.22,1213.23,40.98,215.31,184.14,265.12,157.01,56.92,549.81,227.18,210.71,100.94,1944.87,27.73,222.99,440.9,664.3,102.09,7529.95,119.11,476.14,323.88,747.47,237.63,90.41,362.77,1895.33,89.37,102.04,27.99,123.08,177322.77,250923.13
2026-08-27,19:50,169.68,131.92,1090.65,307.22,1213.23,40.98,215.31,184.14,265.12,157.01,56.92,549.81,227.18,210.71,100.94,1944.87,27.73,222.99,440.9,664.3,102.09,7529.95,119.11,476.14,323.88,747.47,237.63,90.41,362.77,1895.33,89.37,102.04,27.99,123.08,177322.77,250923.13
2026-08-28,09:00,169.68,131.92,1090.65,307.22,1213.23,40.98,215.31,184.14,265.12,157.01,56.92,549.81,227.18,210.71,100.94,1944.87,27.73,222.99,440.9,664.3,102.09,7529.95,119.11,476.14,323.88,747.47,237.63,90.41,362.77,1895.33,89.37,102.04,27.99,123.08,177322.77,250923.13
2026-08-28,10:00,169.5,132.25,1094.0,309.0,1217.0,41.28,213.77,184.8,266.79,158.0,56.7,550.8,230.11,212.28,101.38,1958.0,27.58,223.23,440.43,665.0,101.69,7455.0,119.6,483.87,325.5,747.99,237.64,94.99,362.9,1885.0,89.1,101.96,27.68,124.53,177628.99,251494.17
2026-08-28,11:00,169.99,133.81,1094.99,310.44,1221.5,41.62,213.52,184.49,266.53,158.15,57.09,550.0,229.19,211.05,102.0,1950.0,27.73,223.99,441.05,664.25,101.68,7521.11,119.5,483.0,325.79,745.0,238.8,95.09,364.59,1885.0,89.0,101.99,27.77,124.74,177672.71,251497.99
2026-08-28,12:00,169.8,133.43,1090.99,310.0,1220.98,41.6,214.0,183.5,266.11,157.91,56.91,550.0,237.0,211.55,102.0,1949.0,27.65,223.89,442.19,666.66,101.95,7521.99,119.01,487.5,326.11,743.5,238.6,95.44,363.24,1884.5,88.99,101.62,27.77,125.94,177720.04,251671.44
2026-08-28,13:00,169.5,133.97,1095.8,310.0,1220.0,41.55,214.0,183.88,266.0,158.0,57.0,550.5,237.2,211.79,101.7,1949.0,27.69,223.8,442.0,666.0,102.0,7522.0,119.0,489.5,326.64,744.0,239.05,95.4,363.0,1884.0,89.09,101.99,27.76,126.1,177769.21,251795.04
2026-08-28,14:00,169.5,133.97,1095.8,310.0,1220.0,41.55,214.0,183.88,266.0,158.0,57.0,550.5,237.2,211.79,101.7,1949.0,27.69,223.8,442.0,666.0,102.0,7522.0,119.0,489.5,326.64,744.0,239.05,95.4,363.0,1884.0,89.09,101.99,27.76,126.1,177769.21,251795.04
2026-08-28,15:00,169.5,133.05,1100.25,309.91,1221.98,41.73,213.2,184.89,266.0,157.56,56.94,551.45,238.0,210.99,102.0,1948.99,27.69,223.9,441.5,665.0,101.9,7529.99,121.0,491.35,325.51,744.98,238.5,94.7,362.95,1879.97,88.98,101.5,27.61,127.5,177749.04,251711.25
2026-08-28,16:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
