Date,Time,AGP,AIRLINK,ATRL,CHCC,COLG,DCR,DGKC,EFERT,ENGROH,FATIMA,FCCL,FFC,HCAR,HUBC,ILP,INDU,KAPCO,LCI,LUCK,MARI,MLCF,NESTLE,NETSOL,NRL,OGDC,POL,PPL,PRL,PSO,SAZEW,SEARL,SNGP,SSGC,SYS,KSE100,KMI30
2026-08-03,09:00,190.93,133.9,968.1,316.63,1239.25,37.86,207.31,188.24,274.16,155.03,54.18,565.38,241.29,217.12,104.82,1925.64,27.51,227.09,440.91,646.4,94.87,7913.37,120.95,437.5,314.04,686.98,216.21,60.14,337.35,1917.86,89.79,102.89,25.28,130.45,176094.11,247198.05
2026-08-03,10:00,192.2,135.6,974.9,323.0,1244.98,37.95,214.69,188.3,277.03,157.5,55.5,569.32,244.0,220.25,105.0,1935.0,27.65,229.2,450.95,654.11,97.8,7900.0,123.0,441.5,317.94,689.0,220.6,62.59,340.25,1948.99,91.3,104.41,25.85,132.0,178090.97,250549.83
2026-08-03,11:01,191.2,135.92,981.75,326.9,1241.0,37.98,216.1,187.95,276.94,157.0,56.04,571.8,243.61,221.01,105.01,1934.99,27.55,230.6,451.0,654.5,97.97,7835.0,122.2,446.8,318.9,688.15,221.65,64.6,341.16,1949.0,91.2,104.75,26.0,131.5,178347.23,250962.43
2026-08-03,12:00,191.0,135.91,980.5,326.5,1239.0,37.8,216.1,188.0,278.0,157.75,56.02,571.68,243.99,220.48,105.3,1936.0,27.52,230.5,451.8,652.95,98.22,7838.99,123.23,447.0,318.9,689.01,221.35,64.25,343.18,1951.0,91.35,105.25,25.95,132.5,178581.39,251255.38
2026-08-03,13:00,191.0,135.65,974.0,324.02,1235.0,37.95,215.25,189.3,276.01,156.1,55.5,570.46,242.55,219.39,104.7,1930.0,27.57,229.15,448.0,651.89,97.36,7800.0,123.1,445.55,318.48,689.0,220.39,63.65,340.4,1942.0,91.0,104.42,25.78,134.76,177954.41,250587.29
2026-08-03,14:00,190.99,135.65,971.05,323.99,1238.9,37.81,213.51,190.04,276.38,155.6,55.48,571.0,240.95,219.08,104.69,1939.99,27.6,229.9,446.45,650.6,97.09,7793.94,122.2,444.48,318.02,688.5,219.42,61.2,341.54,1945.0,90.99,104.5,25.78,132.9,177784.16,250165.62
2026-08-03,15:00,190.99,135.75,972.0,323.0,1237.49,37.8,215.79,190.4,277.0,156.5,55.5,571.5,241.45,219.9,104.16,1932.16,27.6,228.75,447.9,651.05,97.5,7789.99,122.8,447.13,318.25,688.0,220.5,63.23,341.77,1942.0,90.99,104.01,25.85,133.0,177895.75,250703.79
2026-08-03,16:00,191.14,135.83,974.23,329.18,1226.86,37.8,215.83,190.36,277.79,157.35,55.9,572.84,241.03,219.89,104.61,1939.99,27.7,228.33,449.08,651.48,97.45,7771.24,122.29,447.12,319.09,687.97,221.32,63.42,347.49,1952.53,90.84,105.88,25.93,133.12,178200.02,251278.11
2026-08-03,18:48,191.14,135.83,974.23,329.18,1226.86,37.8,215.83,190.36,277.79,157.35,55.9,572.84,241.03,219.89,104.61,1939.99,27.7,228.33,449.08,651.48,97.45,7771.24,122.29,447.12,319.09,687.97,221.32,63.42,347.49,1952.53,90.84,105.88,25.93,133.12,178200.02,251278.11
2026-08-04,09:00,191.14,135.83,974.23,329.18,1226.86,37.8,215.83,190.36,277.79,157.35,55.9,572.84,241.03,219.89,104.61,1939.99,27.7,228.33,449.08,651.48,97.45,7771.24,122.29,447.12,319.09,687.97,221.32,63.42,347.49,1952.53,90.84,105.88,25.93,133.12,178200.02,251278.11
