Date,Time,AGP,AIRLINK,ATRL,CHCC,COLG,DCR,DGKC,EFERT,ENGROH,FATIMA,FCCL,FFC,HCAR,HUBC,ILP,INDU,KAPCO,LCI,LUCK,MARI,MLCF,NESTLE,NETSOL,NRL,OGDC,POL,PPL,PRL,PSO,SAZEW,SEARL,SNGP,SSGC,SYS,KSE100,KMI30
2026-09-21,09:00,153.36,129.03,1095.15,273.54,1127.3,39.81,196.08,188.22,263.02,147.28,54.35,539.03,222.54,203.8,98.46,1839.55,26.51,210.82,416.0,650.51,94.76,7402.19,126.02,518.61,318.06,741.48,228.8,82.97,345.64,1745.2,79.69,91.59,23.88,121.95,170884.58,243139.24
2026-09-21,10:00,153.5,128.32,1091.0,274.47,1144.0,39.8,197.2,190.0,263.8,147.49,53.79,537.89,224.5,205.0,98.55,1790.0,26.51,209.75,417.25,635.0,95.8,7402.19,126.01,515.0,317.6,745.55,230.5,82.4,346.5,1748.97,80.18,92.0,24.03,121.84,171173.36,243720.54
2026-09-21,11:00,154.0,127.88,1094.99,277.0,1135.0,39.8,197.4,189.95,264.88,148.52,53.56,538.65,224.8,204.85,99.2,1795.0,26.7,209.45,419.0,637.88,95.5,7402.11,127.5,514.74,319.0,747.0,230.8,82.52,347.0,1751.99,80.2,92.0,23.95,122.3,171453.91,244222.71
2026-09-21,12:00,153.5,127.37,1091.02,276.99,1131.0,39.8,197.25,189.72,264.8,148.51,53.33,539.0,224.3,204.75,97.75,1796.0,26.45,209.39,419.98,637.0,95.19,7405.05,127.0,513.1,318.5,745.52,229.15,82.44,346.15,1751.0,80.13,91.43,23.9,122.13,171253.31,243908.06
2026-09-21,13:00,153.6,127.5,1094.0,276.94,1135.0,39.8,197.35,189.5,264.24,148.7,53.23,539.1,224.0,204.48,98.0,1795.0,26.74,208.99,419.0,635.97,94.95,7424.99,127.51,514.0,318.0,745.89,229.4,82.26,345.6,1751.98,79.83,91.25,23.8,122.14,171102.84,243629.76
2026-09-21,14:00,153.5,127.99,1094.0,276.49,1133.7,39.69,196.8,189.85,264.24,148.5,53.19,540.03,224.3,204.5,99.0,1790.14,26.6,208.99,421.0,636.5,94.9,7410.0,127.5,514.1,317.58,745.25,228.57,82.3,346.18,1748.65,79.89,90.9,23.79,122.29,171125.48,243706.14
2026-09-21,15:00,153.06,127.5,1135.01,275.51,1131.26,39.7,197.1,189.94,264.35,148.35,53.15,540.05,223.5,204.01,99.15,1790.0,26.72,209.3,423.8,636.5,95.0,7424.0,126.3,529.5,318.12,745.5,229.7,86.51,350.0,1749.4,80.2,90.94,23.82,121.99,171452.4,244380.75
2026-09-21,16:00,153.0,126.95,1130.66,277.25,1133.13,39.7,196.27,189.85,263.33,148.76,52.96,540.51,223.61,203.52,100.0,1794.8,26.62,209.42,421.72,635.95,94.78,7410.0,126.76,527.92,317.49,746.4,228.39,86.92,349.58,1747.92,80.12,90.91,23.81,121.12,171153.16,243765.66
2026-09-21,20:57,153.0,126.95,1130.66,277.25,1133.13,39.7,196.27,189.85,263.33,148.76,52.96,540.51,223.61,203.52,100.0,1794.8,26.62,209.42,421.72,635.95,94.78,7410.0,126.76,527.92,317.49,746.4,228.39,86.92,349.58,1747.92,80.12,90.91,23.81,121.12,171153.16,243765.66
2026-09-22,09:00,153.0,126.95,1130.66,277.25,1133.13,39.7,196.27,189.85,263.33,148.76,52.96,540.51,223.61,203.52,100.0,1794.8,26.62,209.42,421.72,635.95,94.78,7410.0,126.76,527.92,317.49,746.4,228.39,86.92,349.58,1747.92,80.12,90.91,23.81,121.12,171153.16,243765.66
2026-09-22,10:00,153.97,127.0,1136.0,279.5,1141.99,39.85,198.16,191.05,263.6,148.99,53.34,540.05,224.0,204.35,100.09,1790.0,26.7,209.0,422.9,636.0,95.05,7401.11,127.0,532.98,318.0,746.02,228.69,89.4,350.0,1747.0,80.39,91.24,23.84,121.5,171620.0,244351.35
2026-09-22,11:00,153.6,127.02,1134.5,277.02,1141.97,39.74,197.79,190.8,263.98,148.96,53.32,540.7,223.7,204.7,100.05,1785.06,26.7,209.32,422.66,648.7,94.81,7420.0,126.5,528.49,317.9,748.98,228.41,88.38,349.75,1748.0,80.92,90.95,23.8,121.7,171647.38,244635.49
2026-09-22,12:00,153.5,127.6,1133.0,278.48,1137.5,39.7,196.99,190.3,263.05,148.6,53.5,539.85,223.89,204.3,99.5,1786.0,26.64,209.88,423.92,648.99,94.8,7424.95,126.16,530.5,317.69,747.68,228.6,88.59,349.49,1741.03,80.7,90.99,23.66,121.94,171526.77,244454.64
2026-09-22,13:00,152.99,127.75,1120.99,277.5,1134.9,39.7,196.0,190.5,262.39,148.49,53.23,538.66,222.06,203.99,99.5,1789.87,26.55,209.0,421.5,645.5,94.1,7425.0,126.0,525.98,316.1,747.75,227.0,86.95,347.53,1743.99,80.39,90.5,23.59,121.6,170972.56,243576.2
2026-09-22,14:00,153.5,127.65,1126.0,277.75,1134.99,39.7,198.02,190.41,263.5,148.69,53.77,538.48,222.99,203.7,99.8,1790.0,26.67,209.49,421.11,645.5,95.3,7420.0,125.5,526.0,317.0,747.44,228.68,86.78,348.0,1744.0,80.87,90.2,23.59,121.5,171178.75,244047.78
2026-09-22,15:00,153.01,127.55,1120.6,277.97,1132.1,39.69,198.74,191.0,263.99,148.5,53.7,537.99,222.52,204.0,100.0,1790.0,26.56,209.29,421.5,645.49,95.56,7420.0,125.5,525.01,317.45,747.25,228.2,86.79,347.35,1739.9,82.37,90.68,23.58,121.47,171119.06,244144.23
2026-09-22,16:00,152.98,127.74,1122.99,279.7,1134.79,39.59,200.22,191.01,263.79,148.46,54.06,538.2,223.36,204.51,100.49,1788.18,26.58,209.08,423.79,645.57,96.19,7420.0,124.5,525.16,318.41,746.65,230.51,87.33,348.83,1740.82,82.65,90.96,23.63,121.2,171402.08,244665.18
2026-09-22,18:44,152.98,127.74,1122.99,279.7,1134.79,39.59,200.22,191.01,263.79,148.46,54.06,538.2,223.36,204.51,100.49,1788.18,26.58,209.08,423.79,645.57,96.19,7420.0,124.5,525.16,318.41,746.65,230.51,87.33,348.83,1740.82,82.65,90.96,23.63,121.2,171402.08,244665.18
2026-09-23,09:00,152.98,127.74,1122.99,279.7,1134.79,39.59,200.22,191.01,263.79,148.46,54.06,538.2,223.36,204.51,100.49,1788.18,26.58,209.08,423.79,645.57,96.19,7420.0,124.5,525.16,318.41,746.65,230.51,87.33,348.83,1740.82,82.65,90.96,23.63,121.2,171402.08,244665.18
2026-09-23,10:00,153.56,128.41,1127.0,281.0,1135.0,39.7,202.99,192.4,264.49,149.35,55.04,540.5,224.5,205.5,101.12,1790.0,26.56,209.99,427.0,650.5,97.3,7386.01,126.0,529.0,319.19,751.5,232.33,88.6,349.3,1749.0,83.8,93.92,24.2,122.13,172358.63,246090.71
